web_scraper_order,web_scraper_start_url,pagination,title,data,data2,data3,data4
"1776950156-252","https://almokhtabar.com/en/testspackages/","","IgE Specific ( food allergens )","EGP 5005","diagnosis of food allergy","5005","Add to Cart"
"1776950156-253","https://almokhtabar.com/en/testspackages/","","Varicella Zoster Virus (VZV)  IgG","EGP 910","immune virus","910","Add to Cart"
"1776950156-254","https://almokhtabar.com/en/testspackages/","","Full Toxicology panel","EGP 1720","an analysis for the diagnosis of drug abuse and used in the pre-appointment analysis","1720","Add to Cart"
"1776950156-255","https://almokhtabar.com/en/testspackages/","","ANA titre by IF","EGP 740","indicates the type of ANA","740","Add to Cart"
"1776950156-256","https://almokhtabar.com/en/testspackages/","","Philadelphia chromosome by PCR ( No material) ( CML )","EGP 4950","analysis for the diagnosis of myeloid leukemia, and determine the treatment protocol","4950","Add to Cart"
"1776950156-257","https://almokhtabar.com/en/testspackages/","","HBs Ag (Eliza)","EGP 480","diagnosis of hepatitis B virus","480","Add to Cart"
"1776950156-258","https://almokhtabar.com/en/testspackages/","","Food Print – 220 ( Food Intolerance )","EGP 13720","allergy analysis used in cases of allergies and beginning a diet","13720","Add to Cart"
"1776950156-259","https://almokhtabar.com/en/testspackages/","","Multi Drug Abuse Qualitative","EGP 1740","an analysis for the diagnosis of drug abuse and used in the pre-appointment analysis","1740","Add to Cart"
"1776950156-260","https://almokhtabar.com/en/testspackages/","","Covid - 19 Total Antibody","EGP 1370","PCR analysis of Corona to confirm infection or non-infection with Corona","1370","Add to Cart"
"1776950156-261","https://almokhtabar.com/en/testspackages/","","COVID-19 RT-PCR","EGP 950","PCR analysis for Corona","950","Add to Cart"
"1776950156-262","https://almokhtabar.com/en/testspackages/","","Interleukin-6 (IL6)","EGP 1240","a protein that is produced in the body in the case of severe infections, such as hepatitis, red tapeworm, or arthritis","1240","Add to Cart"
"1776950156-263","https://almokhtabar.com/en/testspackages/","","Covid-19 AG","EGP 485","analysis of the diagnosis of the presence or absence of corona","485","Add to Cart"
